Model,MAE,RMSE,MAPE_nonzero(%),NSE,KGE,zone,horizon
TwoStage,72806.9839,116722.8729,21637.7729,-0.1097,-0.216,zone_A,1
TwoStage_wet,91100.5836,137209.3239,21637.7729,-0.4413,-0.3237,zone_A,1
Persistence,87721.0765,153542.9966,73918.1062,-0.9202,0.0384,zone_A,1
Climatology,82464.7937,112018.9387,41746.1399,-0.0221,,zone_A,1
TwoStage,76674.1734,121453.9595,26214.728,-0.1781,-0.3577,zone_A,2
TwoStage_wet,96875.7966,143566.2858,26214.728,-0.5363,-0.5086,zone_A,2
Persistence,98660.156,163753.0991,104391.8668,-1.1417,-0.0853,zone_A,2
Climatology,83570.1607,113068.1855,42938.0806,-0.0211,,zone_A,2
TwoStage,69436.1976,118045.374,14020.3909,-0.0908,-0.1592,zone_A,3
TwoStage_wet,90268.1468,140309.0188,14020.3909,-0.428,-0.2499,zone_A,3
Persistence,115201.351,176189.1698,155984.635,-1.43,-0.2397,zone_A,3
Climatology,84780.7468,114163.5593,44200.2021,-0.0202,-0.4267,zone_A,3
TwoStage,69784.9596,115117.1448,13075.0225,-0.0162,-0.0811,zone_A,4
TwoStage_wet,92447.2239,137679.3428,13075.0225,-0.3377,-0.1736,zone_A,4
Persistence,116502.2083,176668.682,45520.877,-1.3935,-0.2418,zone_A,4
Climatology,86108.8782,115306.6849,45538.8959,-0.0196,-0.4266,zone_A,4
TwoStage,71115.6487,115386.7978,33374.5043,-0.0005,-0.081,zone_A,5
TwoStage_wet,94037.0744,138602.2069,33374.5043,-0.3153,-0.1834,zone_A,5
Persistence,107300.5872,165809.4124,58043.2243,-1.066,-0.141,zone_A,5
Climatology,87125.4109,116392.676,46960.8725,-0.0181,-0.426,zone_A,5
TwoStage,72487.8622,120653.5294,17743.686,-0.0725,-0.1496,zone_A,6
TwoStage_wet,95468.7897,145445.8874,17743.686,-0.4034,-0.2412,zone_A,6
Persistence,107369.563,166091.097,1759.8729,-1.0324,-0.1377,zone_A,6
Climatology,87982.2516,117440.5188,48474.423,-0.0161,,zone_A,6
TwoStage,75491.6662,121946.8797,44242.9253,-0.0764,-0.191,zone_A,7
TwoStage_wet,102355.961,148085.0163,44242.9253,-0.4082,-0.3513,zone_A,7
Persistence,110202.9844,153708.8209,159.1578,-0.7101,-0.0499,zone_A,7
Climatology,88473.0896,118331.2282,50088.6112,-0.0135,,zone_A,7
TwoStage,76314.2002,120293.7986,25137.9435,-0.0325,-0.1612,zone_A,8
TwoStage_wet,98180.3266,145518.5183,25137.9435,-0.3168,-0.2191,zone_A,8
Persistence,106318.8205,145417.5263,42314.9005,-0.5088,0.0691,zone_A,8
Climatology,88582.7907,119002.0901,51813.9177,-0.0104,,zone_A,8
TwoStage,72931.5881,120331.8685,19233.8349,-0.0119,-0.121,zone_A,9
TwoStage_wet,96640.4193,146776.8619,19233.8349,-0.2936,-0.17,zone_A,9
Persistence,102381.1349,141735.2191,109318.6363,-0.4039,0.1291,zone_A,9
Climatology,89501.5965,120145.0302,53662.9329,-0.0088,,zone_A,9
TwoStage,70246.4129,125974.069,6140.9999,-0.0868,-0.195,zone_A,10
TwoStage_wet,98585.4804,155738.708,6140.9999,-0.4043,-0.2444,zone_A,10
Persistence,117105.9071,157987.2294,74415.769,-0.7094,-0.0641,zone_A,10
Climatology,90311.5597,121265.0812,55648.8009,-0.0071,,zone_A,10
TwoStage,72695.2644,123583.0533,17851.4494,-0.0256,-0.1627,zone_A,11
TwoStage_wet,100172.2585,153479.461,17851.4494,-0.3135,-0.2128,zone_A,11
Persistence,117881.9098,151171.4562,72574.2588,-0.5346,0.0037,zone_A,11
Climatology,91008.0236,122355.4764,57787.3257,-0.0053,,zone_A,11
TwoStage,77252.3368,122961.6935,35518.2932,0.0095,-0.1253,zone_A,12
TwoStage_wet,104388.2452,152371.7099,35518.2932,-0.2501,-0.1862,zone_A,12
Persistence,111756.6575,147073.0456,13474.4064,-0.4171,0.0675,zone_A,12
Climatology,93021.3331,123864.4045,60098.2928,-0.0051,,zone_A,12
TwoStage,23524.1814,36237.1534,3869.1515,-0.068,-0.0649,zone_B,1
TwoStage_wet,32556.5448,44527.1038,3869.1515,-0.7548,-0.2701,zone_B,1
Persistence,29185.4314,46628.2899,11293.8174,-0.7684,0.1135,zone_B,1
Climatology,30365.8204,35697.892,8258.7189,-0.0365,-0.4315,zone_B,1
TwoStage,26453.9288,38813.0362,5309.7725,-0.2072,-0.2592,zone_B,2
TwoStage_wet,37254.1975,48176.9164,5309.7725,-0.9921,-0.5111,zone_B,2
Persistence,30108.384,46735.0152,13671.7412,-0.7502,0.1114,zone_B,2
Climatology,30491.4666,35891.865,8515.2233,-0.0323,-0.4301,zone_B,2
TwoStage,23026.7684,35462.3461,3685.4153,0.0081,0.0087,zone_B,3
TwoStage_wet,32794.9887,43948.8585,3685.4153,-0.606,-0.1421,zone_B,3
Persistence,36057.502,51651.2917,26750.6133,-1.1042,-0.0752,zone_B,3
Climatology,30651.9269,36111.8532,8788.3266,-0.0285,-0.4288,zone_B,3
TwoStage,22834.4631,36401.5635,2112.1949,-0.0258,-0.046,zone_B,4
TwoStage_wet,33698.049,45809.8703,2112.1949,-0.6904,-0.2185,zone_B,4
Persistence,37523.6292,52468.5701,7180.3026,-1.1312,-0.094,zone_B,4
Climatology,30938.3877,36404.4296,9079.8774,-0.0259,-0.4279,zone_B,4
TwoStage,21140.473,34719.6598,2793.8823,0.0777,0.0456,zone_B,5
TwoStage_wet,32020.0234,43966.3543,2793.8823,-0.5068,-0.0666,zone_B,5
Persistence,33854.9638,50030.1574,9777.1114,-0.9152,-0.0056,zone_B,5
Climatology,30967.2084,36535.7178,9391.0561,-0.0214,-0.426,zone_B,5
TwoStage,24159.0043,38310.8033,3181.4949,-0.1064,-0.1454,zone_B,6
TwoStage_wet,36701.3625,48877.0417,3181.4949,-0.7982,-0.3304,zone_B,6
Persistence,36008.187,50984.6664,156.3106,-0.9595,-0.0262,zone_B,6
Climatology,31093.8801,36744.2165,9724.6063,-0.0177,-0.4245,zone_B,6
TwoStage,24970.6258,39349.8513,3450.8271,-0.1707,-0.2565,zone_B,7
TwoStage_wet,37579.6704,50449.0343,3450.8271,-0.8683,-0.4199,zone_B,7
Persistence,41138.2422,52271.0763,137.3382,-1.0657,-0.1738,zone_B,7
Climatology,30824.895,36587.866,10082.3793,-0.0121,-0.4217,zone_B,7
TwoStage,23235.7784,37389.4811,6176.2308,-0.0758,-0.1552,zone_B,8
TwoStage_wet,35578.9854,48392.4943,6176.2308,-0.6971,-0.3549,zone_B,8
Persistence,37941.0182,49304.563,5678.0373,-0.8706,-0.0561,zone_B,8
Climatology,30347.1582,36166.3772,10467.5177,-0.0065,-0.4185,zone_B,8
TwoStage,22970.8649,37598.1803,4027.8026,-0.0828,-0.1572,zone_B,9
TwoStage_wet,35741.9648,48805.2867,4027.8026,-0.6687,-0.3137,zone_B,9
Persistence,37727.9814,48848.1571,19689.0251,-0.8277,-0.0384,zone_B,9
Climatology,30243.6965,36197.6289,10883.8322,-0.0036,-0.4167,zone_B,9
TwoStage,23126.7743,38197.7941,1095.8787,-0.1076,-0.2292,zone_B,10
TwoStage_wet,34846.1596,49885.8688,1095.8787,-0.6783,-0.3107,zone_B,10
Persistence,41628.1881,53187.6986,10182.7885,-1.1475,-0.2243,zone_B,10
Climatology,30241.6009,36325.7503,11334.9789,-0.0017,-0.4155,zone_B,10
TwoStage,21812.8351,37873.4521,1536.4616,-0.0947,-0.2251,zone_B,11
TwoStage_wet,34708.3983,50201.296,1536.4616,-0.6496,-0.3228,zone_B,11
Persistence,38904.0732,47856.5141,10026.2488,-0.7478,-0.0113,zone_B,11
Climatology,29977.9738,36202.8154,11825.0405,-0.0002,-0.4144,zone_B,11
TwoStage,22308.4992,38214.0586,2582.5042,-0.0882,-0.2279,zone_B,12
TwoStage_wet,36390.1341,51174.2761,2582.5042,-0.6468,-0.3629,zone_B,12
Persistence,38046.075,46880.252,1603.1428,-0.6377,0.0247,zone_B,12
Climatology,30545.5379,36634.5008,12361.469,-0.0001,,zone_B,12
