zone,horizon,mae_overall,nse_overall,kge_overall,mae_wet,nse_wet,mape_wet_pct,zero_hit_pct,f1_regime,n_wet,n_dry
zone_A,1,72806.98,-0.1097,-0.216,91100.58,-0.4413,21637.8,0.0,0.8276,36,15
zone_A,2,76674.17,-0.1781,-0.3577,96875.8,-0.5363,26214.7,0.0,0.8235,35,15
zone_A,3,69436.2,-0.0908,-0.1592,90268.15,-0.428,14020.4,0.0,0.8193,34,15
zone_A,4,69784.96,-0.0162,-0.0811,92447.22,-0.3377,13075.0,6.7,0.825,33,15
zone_A,5,71115.65,-0.0005,-0.081,94037.08,-0.3153,33374.5,0.0,0.8101,32,15
zone_A,6,72487.86,-0.0725,-0.1496,95468.79,-0.4034,17743.7,6.7,0.7671,31,15
zone_A,7,75491.67,-0.0764,-0.191,102355.96,-0.4082,44242.9,0.0,0.8,30,15
zone_A,8,76314.2,-0.0325,-0.1612,98180.33,-0.3168,25137.9,0.0,0.7945,29,15
zone_A,9,72931.59,-0.0119,-0.121,96640.42,-0.2936,19233.8,0.0,0.7536,28,15
zone_A,10,70246.41,-0.0868,-0.195,98585.48,-0.4043,6141.0,33.3,0.7241,27,15
zone_A,11,72695.26,-0.0256,-0.1627,100172.26,-0.3135,17851.5,0.0,0.7761,26,15
zone_A,12,77252.34,0.0095,-0.1253,104388.25,-0.2501,35518.3,0.0,0.7692,25,15
zone_B,1,23524.18,-0.068,-0.0649,32556.54,-0.7548,3869.2,44.4,0.7887,33,18
zone_B,2,26453.93,-0.2072,-0.2592,37254.2,-0.9921,5309.8,16.7,0.7467,32,18
zone_B,3,23026.77,0.0081,0.0087,32794.99,-0.606,3685.4,61.1,0.8485,31,18
zone_B,4,22834.46,-0.0258,-0.046,33698.05,-0.6904,2112.2,66.7,0.8197,30,18
zone_B,5,21140.47,0.0777,0.0456,32020.02,-0.5068,2793.9,83.3,0.7925,29,18
zone_B,6,24159.0,-0.1064,-0.1454,36701.36,-0.7982,3181.5,77.8,0.7692,28,18
zone_B,7,24970.63,-0.1707,-0.2565,37579.67,-0.8683,3450.8,38.9,0.7333,27,18
zone_B,8,23235.78,-0.0758,-0.1552,35578.99,-0.6971,6176.2,38.9,0.7241,26,18
zone_B,9,22970.87,-0.0828,-0.1572,35741.96,-0.6687,4027.8,77.8,0.7391,25,18
zone_B,10,23126.77,-0.1076,-0.2292,34846.16,-0.6783,1095.9,44.4,0.5833,24,18
zone_B,11,21812.84,-0.0947,-0.2251,34708.4,-0.6496,1536.5,61.1,0.6364,23,18
zone_B,12,22308.5,-0.0882,-0.2279,36390.13,-0.6468,2582.5,66.7,0.6341,22,18
