,Test_KGE,Test_KGE,Test_KGE,Test_MAE,Test_MAE,Test_MAE,Test_NSE,Test_NSE,Test_NSE,Test_RMSE,Test_RMSE,Test_RMSE
Model,CatBoost,LightGBM,XGBoost,CatBoost,LightGBM,XGBoost,CatBoost,LightGBM,XGBoost,CatBoost,LightGBM,XGBoost
H,,,,,,,,,,,,
1,0.8491729389212329,0.7106066661409062,0.7208346501900159,8595.244686194512,9558.106056282675,9350.820062592597,0.8366453770272505,0.7960964499249995,0.8017404755236913,14623.489724054069,16337.955282036257,16110.252213478278
2,0.6575920065778147,0.3909346174414707,0.3893223444652266,11891.961161823596,14559.12032523163,14581.940636010164,0.6095844861157607,0.3848610493892118,0.3829371583329493,18798.24415366696,23596.10751023544,23632.97796078964
3,0.5353827048044125,0.2813124116564746,0.2817822836850903,16841.74633501473,20150.598647199386,20197.33630579672,0.171573862656277,-0.1585708246241799,-0.1631856028802585,26870.58915981501,31776.904322949515,31840.12774785225
4,0.4023445416542837,0.1321717933708437,0.1328959836694918,20486.079928896208,24787.163101378188,24836.464830456865,-0.3068749671299626,-0.7854504826864508,-0.7857495728785333,32573.46064708999,38073.32328082719,38076.51207851008
5,0.2734357813171499,0.1568972880641499,0.1516971353030058,26818.446563280744,29293.10398093942,29439.058778102484,-0.7020871756240536,-0.8348016772431943,-0.8434344253050552,43104.777447795976,44753.71291191904,44858.87254784148
6,0.2495207283141971,0.1527898922371644,0.1494398061835277,30518.839168283903,33666.835353012386,33794.616490437875,-0.5617275199356768,-0.6773502672307752,-0.68612387634246,50191.34212764486,52016.13250150067,52151.99380706961
7,0.0995189979312674,0.1219522640734133,0.1169798326020021,33252.40920543875,37209.56995050909,37348.07039644858,-0.3881406985509961,-0.4689871278276183,-0.4763602736371615,59155.31148014738,60853.56096503453,61006.088026441816
