Model,H,NSE,RMSE,MAE
CatBoost,1,0.837,14623.49,8595.245
LightGBM,1,0.796,16337.955,9558.106
Persistence (naive baseline),1,0.817,15492.321,8625.631
XGBoost,1,0.802,16110.252,9350.82
CatBoost,2,0.61,18798.244,11891.961
LightGBM,2,0.385,23596.108,14559.12
Persistence (naive baseline),2,0.46,22102.562,13092.189
XGBoost,2,0.383,23632.978,14581.941
CatBoost,3,0.172,26870.589,16841.746
LightGBM,3,-0.159,31776.904,20150.599
Persistence (naive baseline),3,-0.042,30130.402,18375.282
XGBoost,3,-0.163,31840.128,20197.336
CatBoost,4,-0.307,32573.461,20486.08
LightGBM,4,-0.785,38073.323,24787.163
Persistence (naive baseline),4,-0.605,36098.582,22714.796
XGBoost,4,-0.786,38076.512,24836.465
CatBoost,5,-0.702,43104.777,26818.447
LightGBM,5,-0.835,44753.713,29293.104
Persistence (naive baseline),5,-0.702,43105.349,26636.648
XGBoost,5,-0.843,44858.873,29439.059
CatBoost,6,-0.562,50191.342,30518.839
LightGBM,6,-0.677,52016.133,33666.835
Persistence (naive baseline),6,-0.604,50864.519,30905.915
XGBoost,6,-0.686,52151.994,33794.616
CatBoost,7,-0.388,59155.311,33252.409
LightGBM,7,-0.469,60853.561,37209.57
Persistence (naive baseline),7,-0.447,60391.231,34390.163
XGBoost,7,-0.476,61006.088,37348.07
